,Date,Text,Compound,Positive,Negative,Neutral
62,2022-06-10,"Recessionary concerns and the Fed's hawkish policy measures to combat high inflation are expected to extend the market correction. However, certain Dow Jones constituents with solid financials and br… [+6582 chars]",0.25,0.155,0.069,0.776
63,2022-06-10,"Inflation is the highest it's been in about 40 years, and it's forcing U.S. consumers to adapt, CNBC reports.
The price of gas was Americans' greatest concern amid inflationary pressure at one point… [+1884 chars]",0.4588,0.107,0.056,0.838
64,2022-06-11,US stocks posted their biggest weekly percentage declines since January and ended sharply lower on the day Friday as a steeper-than-expected rise in US consumer prices in May fueled fears of more agg… [+2744 chars],-0.6124,0.0,0.132,0.868
65,2022-06-13,"The ongoing stock market decline is overdone as the S&amp;P 500 officially enters 
bear market territory, JPMorgan's Marko Kolanovic said in a Monday note.
Kolanovic believes enough 
recession ris… [+2054 chars]",-0.4215,0.0,0.085,0.915
66,2022-06-13,"NEW YORK - 
Wall Street is opening the week with more losses, and the S&amp;P 500 has fallen to a level that market observers consider to be a bear market.
Rising interest rates, high inflation, th… [+6447 chars]",-0.3597,0.069,0.126,0.805
67,2022-06-13,"U.S. stock futures looked set to break below the lows of May, as financial markets continue to reel from a surprise acceleration in inflation just days ahead of a Federal Reserve interest-rate decisi… [+1945 chars]",0.0772,0.057,0.049,0.894
68,2022-06-13,"AMC Theaters said Monday that global admissions revenues for the period of June 9-12 were 15% higher than the same time frame in 2019, before the COVID-19 pandemic bit into theater attendance.The com… [+644 chars]",0.0,0.0,0.0,1.0
69,2022-06-14,"HONG KONG, June 14 (Reuters) - Asian shares tumbled on Tuesday after Wall Street officially entered bear market territory and bond yields hit a two-decade high on fears aggressive U.S. interest rate … [+2625 chars]",0.2023,0.128,0.108,0.764
70,2022-06-14,"The U.K.s unemployment rate rose slightly in the three months to April while employment continued to increase in May, suggesting that a slowdown in economic activity hasnt hit the labor market.The U.… [+1173 chars]",-0.1531,0.062,0.078,0.86
71,2022-06-14,"SYDNEY Australian consumer confidence dropped 7.6% last week to the lowest levels since the economy experienced a damaging recession at the start of the 1990s, according to a survey by ANZ Bank and p… [+1491 chars]",-0.6597,0.075,0.198,0.727
72,2022-06-14,"To the average investor, a bear market can be as terrifying as a seven-foot-tall grizzly. Bear markets can lay bare the vulnerabilities in your investment portfolio and exacerbate them. This sustaine… [+9953 chars]",-0.6486,0.0,0.146,0.854
73,2022-06-14,Indias wholesale inflation accelerated at a faster pace in May owing to higher prices of a wide range of products.The wholesale price index rose 15.88% on year in May after a 15.08% increase in April… [+958 chars],0.3182,0.06,0.0,0.94
74,2022-06-14,"The Pentagon on Tuesday said Raytheon Technologies Corp. 
 RTX,
 -0.69%
,
 Pratt and Whitney Military Engines received a modification not to exceed $4,385,492,639 to an existing contract for prop… [+609 chars]",0.0,0.0,0.0,1.0
75,2022-06-14,"Excelera DCE and special purpose acquisition company Future Health ESG Corp. 
 FHLT,
 +0.10%
on Tuesday said they entered a business combination deal that will see Excelera become a publicly trade… [+653 chars]",0.4019,0.08,0.0,0.92
76,2022-06-14,"Electric vehicle-startup Electric Last Mile Solutions Inc. filed chapter 7 bankruptcy Tuesday.
The Troy, Mich.-based vehicle maker listed assets and liabilities each of between $50 million and $100 … [+506 chars]",0.1531,0.102,0.054,0.843
77,2022-06-15,"Shares of Chinese electric-car makers rose sharply in Wednesday morning trade in Hong Kong, continuing a rebound from earlier losses this week amid signs of improving retail sales.Li Auto Inc. 
 LI,… [+1470 chars]",0.3182,0.133,0.072,0.796
78,2022-06-15,"NEW YORK/OAKLAND, June 15 (Reuters) - The S&amp;P 500 index, the most closely followed benchmark for U.S. equities on Wall Street, has slid this year as inflation jumped to its highest rate in 40-yea… [+3411 chars]",0.0,0.0,0.0,1.0
79,2022-06-16,Shares in British e-commerce retailer THG PLC fell 19% on Thursday after both Belerion Capital Group Ltd. and Candy Ventures Sarl said that they didnt plan to make offers for the London-listed online… [+939 chars],0.296,0.061,0.0,0.939
80,2022-06-16,"Although the markets looked fine yesterday after the Federal Reserve raised its benchmark lending rate by three-quarters of a percentage point, it didn't take long for the panic to set back in. The D… [+2837 chars]",-0.3612,0.046,0.084,0.87
81,2022-06-16,"When he looks back on his memories of World War II, Harry Whisler always mentions the 2,000-year-old Roman Bridge in Trier, Germany, where he brushed shoulders with Gen. George S. Patton in 1945.
Pa… [+6119 chars]",-0.5994,0.0,0.1,0.9
82,2022-06-16,"SHANGHAI, June 16 (Reuters) - Asian stocks rose on Thursday, while longer-dated U.S. government bond yields fell and the dollar was down from two-decade highs after the U.S. Federal Reserve delivered… [+3320 chars]",0.0,0.0,0.0,1.0
83,2022-06-16,"Have the bears taken over Wall Street? Well, they're certainly clawing at the door, the director of Champlain College's Center for Financial Literacy said Tuesday.
""Are we in a bear market? The answ… [+2243 chars]",0.594,0.128,0.0,0.872
84,2022-06-17,"Shares of American Express Co. were up more than 5% on Friday after Baird turned bullish on the credit-card giant, along with Capital One Financial Corp., Fifth Third Bancorp 
 FITB,
 +2.72%
,
 a… [+1551 chars]",0.296,0.061,0.0,0.939
85,2022-06-17,"Banco Santander SA said Friday that its Chief Executive Officer Jose Antonio Alvarez would be leaving his role as of Jan. 1, ending a seven-year tenure.
The Spanish lender 
 SAN,
 -2.04%
SAN,
 -… [+235 chars]",0.0,0.0,0.0,1.0
86,2022-06-20,"Kingspan Group PLC said Monday that it expects to report a record profit for the first half of the year despite a market deterioration in the last two months.
The London-listed, Ireland-based buildi… [+681 chars]",0.4404,0.079,0.0,0.921
